,Unnamed: 0,Unnamed: 0.1,Community,Province,Island,Postal_Code,Locality,Locality_Website,Name,Alternative_Name_1,Alternative_Name_2,Descripci,Beach_Length_m,Beach_Width_m,Popularity,Urbanization,Sea_Promenade,Type_of_Sea_Promenade,Type_of_Sand,Condition,Nudism,Blue_Flag,Reachable_by_bus,Bus_Stop,Parking,Parking_Watched,Parking_Spaces,Toilets,Footbaths,Showers,Public_Telephones,Trashcans,Child_Zone,Sport_Zone,Yacht_Club,Surfing_Zone,Sport_Harbour,Sport_Harbour_Website,Distance_to_Harbour_km,Hospital,Phone_Number,Distance_to_Hospital_km,Ground_Type,lon,lat,bathingWaterIdentifier,quality2019,rating,google_place_id
19,19,19,Andalucía,Almería, ,4032,Carboneras,http://www.carboneras.es,El Ancón, , ,Playa urbana con gran calidad y disponibilidad de sus servicios e infraestructuras.,1.700,40,High,Urban,Yes,Partial,Dark,Aguas tranquilas,No,Yes,Yes,Interurbano,Yes,No,Less than 50 parking places,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Club Náutico Isla de San Andrés (Carboneras ),http://www.clubnauticocarboneras.com,1,Hospital de Alta Resolución El Toyo,950158015,50,Sand,-1.8891,37.0032,ES611M0321294,Excellent,,
20,20,20,Andalucía,Almería, ,4032,Carboneras,http://www.carboneras.es,La Galera, , ,"Playa con una composición muy irregular, en la que se alternan piedras con arena de color gris y grava. Recibe a un reducido número de bañistas.",800,15,Low,Isolated,No, ,Dark,Oleaje moderado,No,No,Yes,Interurbano,No,,,No,No,No,No,Yes,No,No,No,No,Club Náutico Isla de San Andrés (Carboneras ),http://www.clubnauticocarboneras.com,2,Hospital de Alta Resolución El Toyo,950158015,50,Sand / Pebbles / Gravel,-1.8794,37.0239,ES611M0321298,Excellent,,
21,21,21,Andalucía,Almería, ,4032,Carboneras,http://www.carboneras.es,Las Marinicas, , ,La Playa de las Marinicas se sitúa entre el puerto industrial y el puerto pesquero de Carboneras y tiene una gran afluencia de practicantes de submarinismo.,1.330,75,High,Urban,Yes, ,Golden,Aguas tranquilas,No,Yes,Yes,Interurbano,Yes,No,More than 100 places,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Club Náutico Isla de San Andrés (Carboneras ),http://www.clubnauticocarboneras.com,0,Hospital de Alta Resolución El Toyo,950158015,50,Sand,-1.9017,36.9849,ES611M0321296,Excellent,4.3,ChIJlWFef4beeg0R_lPJQA0pnEc
22,22,22,Andalucía,Málaga, ,29070,Mijas,http://www.mijas.es,Las Doradas, , ,Estrecha franja de arena y fondo rocoso en una zona con volumen de edificabilidad bajo.,800,10,Low,Semi-Urban,No, ,Medium Grain / Grayish,Aguas tranquilas,No,No,Yes,Interurbano,Yes,,,Yes,Yes,Yes,No,Yes,No,No,No,No,Puerto de Fuengirola,http://www.puertodeportivofuengirola.es/,7,Hospital Costa del Sol de Marbella,951976669,"15,5",Sand / Rock,-4.669,36.5043,ES617M0701556,Good,,
23,23,23,Andalucía,Málaga, ,29069,Marbella,http://www.marbella.es,Calahonda, , ,Ultima playa del oeste de Marbella entre el Puerto de Cabopino y el límite con Mijas. Playa estrecha con fondos rocosos.,670,25,Medium,Semi-Urban,No, ,Golden,Aguas tranquilas,No,No,Yes,Interubano,Yes,,,Yes,No,Yes,No,Yes,No,No,No,No,Puerto Deportivo Cabo Pino,http://www.andalucia.org/es/turismo-y-deporte/malaga/puerto-deportivo-de-cabopino/,"0,5",Hospital Costa del Sol de Marbella,951976669,10,Sand / Rock,-4.7368,36.4856,ES617M0701557,Good,,
24,24,24,Andalucía,Málaga, ,29070,Mijas,http://www.mijas.es,El Ejido, , ,"Estrecha franja de arena y rocas en una zona no urbanizada en la parte este del municipio, en el límite con el término municipal de Fuengirola.",350,De 2 a 30,Low,Isolated,No, ,Grayish,Aguas tranquilas,No,No,Yes,Interurbano,Yes,No,More than 100 places,Yes,Yes,Yes,No,Yes,No,No,No,No,Puerto de Fuengirola,http://www.puertodeportivofuengirola.es/,6,Hospital Costa del Sol de Marbella,951976669,20,Sand / Rock,-4.6317,36.5157,ES617M0541525,Poor,,
25,25,25,Canarias,Santa Cruz de Tenerife,Tenerife,38020,Güímar,http://www.guimar.es,El Puertito,Playa de Güímar, ,"Playa pequeña situada en el puerto de Guímar, que dispone de paseo marítimo y ofrece aguas tranquilas al numeroso público que la visita.",100,45,High,Urban,Yes, ,Dark,Aguas tranquilas,No,No,Yes,Interurbano,No,,,Yes,,Yes,Yes,Yes,No,No,No,No,Puerto Deportivo Radazul,http://www.puertodeportivoradazul.com,,Hospital Universitario Nuestra Señora de Candelaria,922602000,,Sand / Gravel,-16.3766,28.2923,ES709M0202092,Excellent,,
26,26,26,Cataluña/Catalunya,Girona, ,17118,Palamós,http://www.palamos.cat,Platja de la Cadena, , ,Pequeña cala carente de servicios y a la que se accede a pie por un camino entre pinos y rocas.,150,10,Low,Isolated,No, ,Golden,Oleaje moderado,Yes,No,No, ,No,,,No,No,No,No,No,No,No,No,No,Club Nàutic Llafranc,http://www.nauticllafranc.net,6,Hospital Comarcal de Palamós,972600160,7,Sand,3.1752,41.8665,ES512M118748,Excellent,4.8,ChIJ8Sfe2FmruxIR0PwUavpME4U
27,27,27,Galicia,A Coruña, ,15053,Muros,http://www.muros.es,O Salto, , ,"Pequeña cala de aguas tranquilas, aislada, rodeada de vegetación y sin accesos",89,29,Low,Isolated,No, ,White and fine,Aguas tranquilas,No,No,No, ,No,,,No,No,No,No,No,No,No,No,No,Portos de Galicia. Puerto de Muros, ,5,Hospital Virxe da Xunqueira,981706010,47,Sand / Rock,-9.0351,42.7921,ES111M0532238,Good,,
28,28,28,Andalucía,Almería, ,4035,Cuevas del Almanzora,http://www.cuevasdelalmanzora.es/,Fábrica del Duro, , ,"Esta playa se encuentra en la misma desembocadura del río Almanzora, en su margen izquierda, y se caracteriza por su tranquilidad y buen entorno natural. La vegetación cercana a la playa está representada, sobre todo, por vegetación halófila (carriz",600,15,Low,Isolated,No, ,Golden,Oleaje moderado,No,No,Yes,Interurbano,Yes,No,Between 50 and 100 parking places,No,No,No,No,No,No,No,No,No,Puerto Deportivo de Villaricos,http://www.puertosdeandalucia.es/es/puertos/puertos-de-almeria/itemlist/category/100-puerto-de-villaricos-la-esperanza,"0,8",Hospital Inmaculada,950029000,39,Sand / Gravel,-1.7784,37.2387,ES611M0351304,Good,4.1,ChIJLZYMZqYrew0RNckDn5LaXZI
29,29,29,Andalucía,Almería, ,4035,Cuevas del Almanzora,http://www.cuevasdelalmanzora.es/,Peñón Cortado, , ,"Cala ubicada entre rocas de difícil acceso, muy interesante por las formas que adoptan las rocas, así como por la claridad de sus aguas.",110,15,Low,Isolated,No, ,Dark,Oleaje moderado,No,No,Yes,Interurbano,No,,,No,No,No,No,No,No,No,No,No,Puerto Deportivo de Villaricos,http://www.puertosdeandalucia.es/es/puertos/puertos-de-almeria/itemlist/category/100-puerto-de-villaricos-la-esperanza,4,Hospital Inmaculada,950029000,43,Sand / Gravel,-1.7454,37.2736,ES611M0351303,Good,,
30,30,30,Andalucía,Almería, ,4035,Cuevas del Almanzora,http://www.cuevasdelalmanzora.es/,Pozo del Esparto, , ,Esta playa de carácter urbano toma su nombre del núcleo urbano de Pozo del Esparto que se extiende a lo largo de toda la franja de arena y grava.,1.200,25,Medium,Urban,Yes,Complete,Dark,Oleaje moderado,No,No,Yes,Interurbano,Yes,No,Between 50 and 100 parking places,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Puerto Deportivo de Villaricos,http://www.puertosdeandalucia.es/es/puertos/puertos-de-almeria/itemlist/category/100-puerto-de-villaricos-la-esperanza,10,Hospital Inmaculada,950029000,51,Sand / Gravel,-1.6934,37.3318,ES611M0351301,Good,,
31,31,31,Andalucía,Almería, ,4035,Cuevas del Almanzora,http://www.cuevasdelalmanzora.es/,Quitapellejos,Palomares, ,"Playa de arena y grava ubicada en una zona aislada de edificaciones, en la que no se registra gran afluencia de gente.",1.400,30,Low,Isolated,No, ,Golden,Oleaje moderado,No,No,Yes,Interurbano,Yes,No,More than 100 places,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Puerto Deportivo de Villaricos,http://www.puertosdeandalucia.es/es/puertos/puertos-de-almeria/itemlist/category/100-puerto-de-villaricos-la-esperanza,2,Hospital Inmaculada,950029000,39,Sand / Gravel,-1.7924,37.2343,ES611M0351305,Good,4.0,ChIJ4SS4DFIqew0Rmy2785UIAUs
32,32,32,Cataluña/Catalunya,Barcelona, ,8264,Sant Vicenç de Montalt,http://www.svmontalt.cat,Sant Vicenç de Montalt, , ,"Playa muy ancha localizada junto al Puerto de Balís que dispone de gran cantidad de servicios de calidad que le dan un buen ambiente, y que por otra parte es un buen ejemplo de limpieza.",1.240,50,Medium,Urban,Yes, ,Golden,Aguas tranquilas,No,No,Yes,Interurbano,Yes,No,More than 100 places,Yes,,Yes,No,Yes,Yes,Yes,Yes,No, , ,,Hospital de Mataró,937582800,6,Sand / Rock,2.5132,41.5617,ES511M264681,Good,,
33,33,33,Cataluña/Catalunya,Barcelona, ,8261,Santa Susanna,http://www.stasusanna.org,Platja de les Dunes,Santa Susanna, ,"Se extiende a lo largo de toda su línea de costa, resultando muy amplia, cómoda y con gran cantidad de servicios disponibles.",1.140,40,Medium,Semi-Urban,No, ,Golden,Oleaje moderado / Ventosa,No,No,Yes,Urbano,Yes,No,More than 100 places,Yes,,Yes,No,Yes,Yes,Yes,Yes,No, , ,,Hospital Sant Jaume,937690201,"3,9",Sand,2.7089999999999996,41.6274,ES511M2612467,Good,4.2,ChIJpw4Tbr4-uxIRwoxJFkfLrbM
34,34,34,Andalucía,Almería, ,4075,Pulpí,http://www.pulpi.es,Cala Cerrada,Cala de los Cocedores, ,Cala aislada en forma de concha muy atractiva por las rocas que la forman y sobre todo por la transparencia de sus aguas.,150,20,High,Isolated,No, ,Golden,Aguas tranquilas,No,No,Yes,Interurbano,Yes,No,Less than 50 parking places,Yes,No,No,No,Yes,No,No,No,No,"Puerto Deportivo de Juan Montiel (Águilas, Murcia)",http://www.puertodeportivojuanmontiel.es,6,Hospital Inmaculada,950029000,38,Sand,-1.6307,37.3753,ES611M0751327,Excellent,4.7,ChIJ3cvzroPOZA0R6T3uy2Yplx0
35,35,35,Andalucía,Almería, ,4075,Pulpí,http://www.pulpi.es,Cala Cuartel, , ,Pequeña cala tranquila y agradable ubicada en una zona residencial del pueblo de San Juan de los Terrenos.,75,20,Medium,Urban,No, ,Golden,Aguas tranquilas,No,No,Yes,Interurbano,No,,,No,Yes,No,No,Yes,No,No,No,No,"Puerto Deportivo de Juan Montiel (Águilas, Murcia)",http://www.puertodeportivojuanmontiel.es,8,Hospital Inmaculada,950029000,35,Sand,-1.6578,37.3576,ES611M0751326,Sufficient,4.7,ChIJdWCx4-nNZA0RF1zq024Tu7c
36,36,36,Andalucía,Almería, ,4075,Pulpí,http://www.pulpi.es,Cala de la Tía Antonia, , ,"Pequeña cala de arena dorada muy frecuentada por familias y habitantes del pueblo en el que se encuentra, San Juan de los Terrenos.",75,20,Medium,Urban,No, ,Golden,Aguas tranquilas,No,No,Yes,Interurbano,Yes,No,Less than 50 parking places,No,Yes,No,No,Yes,No,No,No,No,"Puerto Deportivo de Juan Montiel (Águilas, Murcia)",http://www.puertodeportivojuanmontiel.es,10,Hospital Inmaculada,950029000,35,Sand,-1.6621,37.3582,ES611M0751328,Poor,,
37,37,37,Andalucía,Almería, ,4075,Pulpí,http://www.pulpi.es,Calipso,San Juan de los Terreros,Calypso,Pequeña playa urbanizada que presenta un elevado grado de ocupación.,250,25,High,Urban,Yes,Complete,Golden,Aguas tranquilas,No,Yes,Yes,Interurbano,Yes,No,Less than 50 parking places,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,"Puerto Deportivo de Juan Montiel (Águilas, Murcia)",http://www.puertodeportivojuanmontiel.es,10,Hospital Inmaculada,950029000,35,Sand,-1.6761,37.3537,ES611M0751331,Poor,,
38,38,38,País Vasco/Euskadi,Bizkaia, ,48076,Sukarrieta,http://www.sukarrieta-pedernales.com,Kanala, , ,Pequeña cala de aguas tranquilas.,70,25,Low,Isolated,No, ,Golden,Aguas tranquilas,No,No,No, ,No,,,No,No,No,No,No,No,No,No,No,Puerto de Mundaka,http://turismo.euskadi.eus/es/puertos-pesqueros/puerto-de-mundaka/aa30-12375/es/,15,Hospital de Galdakao,944369000,30,Sand,-2.6822,43.3881,ES213M048610,Good,,
39,39,39,Andalucía,Huelva, ,21044,Lepe,http://www.lepe.es,Santa Pura, , ,Playa virgen con un importante tramo en Paraje Natural.,2.500,50,Low,Isolated,No, ,Golden,Oleaje moderado,No,No,No, ,No,,,No,No,No,No,No,No,Yes,No,No, , ,,Juan Ramón Jiménez,959016000,42,Sand,-7.1854,37.2066,ES615M0441483,Good,,
40,40,40,Andalucía,Huelva, ,21042,Isla Cristina,http://www.islacristina.es,Casita Azul, , ,Playa bordeada por un bosque de pinos,1.300,90,Medium,Isolated,No, ,White,Oleaje moderado,No,No,Yes,Urbano,Yes,Yes,More than 100 places,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Puerto de Isla Cristina,http://www.puertosdeandalucia.es/es/puertos/puertos-de-huelva/itemlist/category/76-puerto-de-isla-cristina,3,Hospital Infanta Elena,959015100,50,Sand,-7.29,37.1994,ES615M0422395,Sufficient,4.4,ChIJrbQL6KglEA0R5znBAfCDAs4
41,41,41,Andalucía,Huelva, ,21042,Isla Cristina,http://www.islacristina.es,Gaviota, , ,Playa conformada recientemente al abrigo del dique portuario. Se accede a través de una pasarela elevada que cruza la gola.,440,120,Medium,Urban,No, ,White,Oleaje moderado,No,No,Yes,Urbano,Yes,No,Between 50 and 100 parking places,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Puerto de Isla Cristina,http://www.puertosdeandalucia.es/es/puertos/puertos-de-huelva/itemlist/category/76-puerto-de-isla-cristina,"0,5",Hospital Infanta Elena,959015100,50,Sand,-7.3224,37.1908,ES615M0422259,Good,0.0,ChIJmXkYJ2gkEA0RYpllkvSZ3Us
42,42,42,Andalucía,Huelva, ,21042,Isla Cristina,http://www.islacristina.es,Del Hoyo, , ,Playa bordeada por un bosque de pinos con áreas de descanso.,650,90,Medium,Isolated,No, ,White,Oleaje moderado,No,No,No, ,Yes,Yes,More than 100 places,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Puerto de Isla Cristina,http://www.puertosdeandalucia.es/es/puertos/puertos-de-huelva/itemlist/category/76-puerto-de-isla-cristina,2,Hospital Infanta Elena,959015100,50,Sand,-7.296,37.1986,ES615M0422396,Poor,,
43,43,43,Andalucía,Huelva, ,21042,Isla Cristina,http://www.islacristina.es,Icona,Pesmar, ,Playa bordeada por un bosque de pinos integrado en el Parque Urbano Litoral,550,90,Low,Isolated,No, ,White,Oleaje moderado,No,No,No, ,Yes,No,Between 50 and 100 parking places,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Puerto de Isla Cristina,http://www.puertosdeandalucia.es/es/puertos/puertos-de-huelva/itemlist/category/76-puerto-de-isla-cristina,4,Hospital Infanta Elena,959015100,50,Sand,-7.2753,37.2019,ES615M0421482,Excellent,4.4,ChIJw2N1soIlEA0Rg6pPPdZ2nH0
